queue_order,bucket,raw_path,filename,extension,bytes,sha256,source_page_status,matched_source_pages,review_states,suggested_source_type,suggested_evidence_tier,ingest_priority,next_action
13,reports,raw/reports/Biochem_Mercury_Farina_2011.pdf,Biochem_Mercury_Farina_2011.pdf,pdf,1507811,199f4581eb03127c7219a127a539a66bf6dae7886a2103c2e7dab3dc24c3e017,matched_by_raw_path,wiki/sources/farina-rocha-aschner-2011-mehg-mechanism.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
14,reports,raw/reports/Biochem_Mercury_Ralston_2008.pdf,Biochem_Mercury_Ralston_2008.pdf,pdf,192262,4b1f6918c34ebfbd48b207574930b16b6459c964540a52e2c3560d645e748569,rejected_unusable,,rejected,peer-reviewed,A,P9-filename-content-misfire,"do not ingest as mercury evidence; file content is Mitsuhashi et al. 2008 on pyrogallol/polyphenol apoptosis, not the intended Ralston mercury source"
15,reports,raw/reports/Bookshelf_NBK610351.pdf,Bookshelf_NBK610351.pdf,pdf,6169544,dc8d74f9a42b72a9a2c47a931eee7664e0ba15797c6cf454c5d7c5b23f2f57c8,matched_by_raw_path,wiki/sources/atsdr-nickel-toxprofile-2024.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
16,reports,raw/reports/CDC_BloodLeadReferenceValue.pdf,CDC_BloodLeadReferenceValue.pdf,pdf,1539850,faeb03a7b6a3bb5a5e9456c35ec712bf46e9cdcb5903d56db99a16ddfce0ac57,matched_by_raw_path,wiki/sources/cdc-blood-lead-reference-value.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
17,reports,raw/reports/Codex_CCCF17_SessionReport_REP24_CF17.pdf,Codex_CCCF17_SessionReport_REP24_CF17.pdf,pdf,1296695,3d5f0a1ef4e0bcdeb85305cfa767ee17f533598cfa63a195cfaae98512cdc7fe,matched_by_raw_path,wiki/sources/codex-cccf17-2024.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
18,reports,raw/reports/eco-ssl_nickel.pdf,eco-ssl_nickel.pdf,pdf,848927,69772e091c9ed0226f8aee94e3ae99bdd1a59ea21bb41121083982cf62322ce1,matched_by_raw_path,wiki/sources/epa-eco-ssl-nickel-2007.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
19,reports,raw/reports/EFSA Journal - 2008 -  - Safety of aluminium from dietary intake ‐ Scientific Opinion of the Panel on Food Additives .pdf,EFSA Journal - 2008 -  - Safety of aluminium from dietary intake ‐ Scientific Opinion of the Panel on Food Additives .pdf,pdf,502229,9d04359daa27ed5b8cd5f767a09b2404b7a0511eb5dbb8b74743538c35fdf503,matched_by_raw_path,wiki/sources/efsa-aluminium-afc-2008.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
20,reports,raw/reports/EFSA Journal - 2020 -  - Update of the risk assessment of nickel in food and drinking water.pdf,EFSA Journal - 2020 -  - Update of the risk assessment of nickel in food and drinking water.pdf,pdf,11437827,dd04aab5a259f92b64443640da22f6974b7c3ce1b2495b876e46d635729608dc,matched_by_raw_path,wiki/sources/efsa-nickel-contam-2020.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
21,reports,raw/reports/EFSA_Cadmium_ScientificOpinion.pdf,EFSA_Cadmium_ScientificOpinion.pdf,pdf,1042552,f543117e83bb7ff2918ced4c6b50a53c51709e98f5994997d613daf0b590420a,matched_by_raw_path,wiki/sources/efsa-cadmium-contam-2009.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
22,reports,raw/reports/EPA_Arsenic_DrinkingWater_MCL.pdf,EPA_Arsenic_DrinkingWater_MCL.pdf,pdf,70562,269d6cbbb0b7c8a1f098034e9f46073b8e170e72c7abf83cb9a81fc3ddf65564,matched_by_raw_path,wiki/sources/epa-arsenic-drinking-water-mcl.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
23,reports,raw/reports/EPA_IRIS_Cadmium_ToxicologicalReview.pdf,EPA_IRIS_Cadmium_ToxicologicalReview.pdf,pdf,408828,7d77d6e8f827c832de58ba5dce14b43a4eefea4ebf30e90a72c2b72554fc09e3,deferred_historical,wiki/sources/epa-iris-cadmium-1989.md;wiki/regulations/epa-iris-cadmium-rfd.md,deferred_historical,gov-report,A,P4-historical-draft,retain as historical EPA cadmium reassessment draft; do not use as operative EPA IRIS value because it is marked external review draft/do not quote and was not finalized
24,reports,raw/reports/EPA_IRIS_ElementalMercury_ToxReview.pdf,EPA_IRIS_ElementalMercury_ToxReview.pdf,pdf,80229,82b0ecdec383277a825496f1674f238c0b22d707d978814159392556957917c3,matched_by_raw_path,wiki/sources/epa-iris-mercuric-chloride.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
25,reports,raw/reports/EPA_IRIS_InorganicArsenic_Summary.pdf,EPA_IRIS_InorganicArsenic_Summary.pdf,pdf,450869,aae1317bef81aabc72c6043d7d3db293db28517984bfe5454a5d7acb934198c2,related_artifact,wiki/sources/epa-iris-inorganic-arsenic-2025.md,machine_extracted,gov-report,A,P0-report-regulatory-toxicology,treat as companion IRIS summary artifact for the full 2025 inorganic arsenic toxicological review; do not create duplicate source weight
26,reports,raw/reports/EPA_IRIS_InorganicArsenic_ToxicologicalReview.pdf,EPA_IRIS_InorganicArsenic_ToxicologicalReview.pdf,pdf,18675480,6276be43fbe5975141394cffe6578806ab1f84fe51404a8c8d33be03da593d94,matched_by_raw_path,wiki/sources/epa-iris-inorganic-arsenic-2025.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
27,reports,raw/reports/EPA_IRIS_InorganicMercury_ToxReview.pdf,EPA_IRIS_InorganicMercury_ToxReview.pdf,pdf,96077,88ffb70e0b05d4078bb19dcbb72e215441d0ee5190eb1bf05b47b664c28794b0,related_artifact,wiki/sources/epa-iris-methylmercury.md,machine_extracted,gov-report,A,P0-report-regulatory-toxicology,treat as mislabeled companion artifact for EPA IRIS methylmercury summary; do not create an inorganic-mercury source page from this file
28,reports,raw/reports/EPA_IRIS_Lead_ToxicologicalReview.pdf,EPA_IRIS_Lead_ToxicologicalReview.pdf,pdf,126356,943768c1a23663e136cf277ffd01188e92018aacbc2def84fe5d08cf9f3184d6,matched_by_raw_path,wiki/sources/epa-iris-lead-2004.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
29,reports,raw/reports/EPA_IRIS_Methylmercury_ToxReview.pdf,EPA_IRIS_Methylmercury_ToxReview.pdf,pdf,96077,c040605d1404be18b5c84849f502f62a4e4d67d754122a1949ff53ba51ca2bce,matched_by_raw_path,wiki/sources/epa-iris-methylmercury.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
30,reports,raw/reports/Factsheet_lood_2024FINAL.pdf,Factsheet_lood_2024FINAL.pdf,pdf,420016,77c82bff978471696547dd08d6498940bee3872ec8b6765231853f2fed85bb62,matched_by_raw_path,wiki/sources/belgian-lead-factsheet-2024.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
31,reports,raw/reports/FDA_CloserToZero_ActionPlan.pdf,FDA_CloserToZero_ActionPlan.pdf,pdf,475247,8d52935f682a50daf68f6fb7f051c8ddec2cb7b22093ab910fcf1b5f8a32b110,matched_by_sha256,wiki/sources/fda-ctz-Pb-babyfood-2025.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
32,reports,raw/reports/FDA_CloserToZero_Lead_ActionLevels_2025.pdf,FDA_CloserToZero_Lead_ActionLevels_2025.pdf,pdf,75106,d349ed5cc116261df02ba4c0b6f90e77cb6b9a5ac83aec71120234c588ebd40c,matched_by_raw_path,wiki/sources/fda-ctz-Pb-babyfood-2025.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
33,reports,raw/reports/FDA_EPA_FishConsumption_Advice.pdf,FDA_EPA_FishConsumption_Advice.pdf,pdf,817560,ccef5f2009e263cbf0ad04e3589c95197bfdc5fe83f714f9ea7b05eb3ae60e1c,matched_by_raw_path,wiki/sources/fda-epa-fish-consumption-advice.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
34,reports,raw/reports/FDA_InorganicArsenic_RiceCereal_ActionLevel_2020.pdf,FDA_InorganicArsenic_RiceCereal_ActionLevel_2020.pdf,pdf,236470,ced2c64301c7d05c0b6761228f4332bb4cedd66f06f32437d2eb74d33a0368d8,matched_by_raw_path,wiki/sources/fda-iAs-rice-cereal-2020.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
35,reports,raw/reports/FDA-Guidance-Jan2025-LeadProcessedFoodBabyChildren-12312024.pdf,FDA-Guidance-Jan2025-LeadProcessedFoodBabyChildren-12312024.pdf,pdf,475247,8d52935f682a50daf68f6fb7f051c8ddec2cb7b22093ab910fcf1b5f8a32b110,matched_by_raw_path,wiki/sources/fda-ctz-Pb-babyfood-2025.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
36,reports,raw/reports/food-safety-regulatory-research-needs-2030-2019.pdf,food-safety-regulatory-research-needs-2030-2019.pdf,pdf,920424,411198f29754d852fecbc89f158bc0fc2661d1bb77c984a40694a3832c4d2c7e,matched_by_raw_path,wiki/sources/efsa-food-safety-research-needs-2030.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
37,reports,raw/reports/JECFA_Arsenic_Monograph.pdf,JECFA_Arsenic_Monograph.pdf,pdf,3789461,3fecde4a1e9ce7ed2b38bf9c4ff455b6dfdddfbbe24659d02b29184f96ee14fd,matched_by_raw_path,wiki/sources/jecfa-82nd-arsenic.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
38,reports,raw/reports/JECFA_Cadmium_Monograph.pdf,JECFA_Cadmium_Monograph.pdf,pdf,3698798,b04661cc06e4c52655ce9573297eb68acedf0f22e844ccdad343c27591e34791,matched_by_raw_path,wiki/sources/jecfa-91st-cadmium-2022.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
39,reports,raw/reports/JECFA_Lead_Monograph.pdf,JECFA_Lead_Monograph.pdf,pdf,1750364,7300ccdfa4eb81143c27f96f0f9078727eaab0ce541aed1947a9d5e139160e94,matched_by_raw_path,wiki/sources/jecfa-72nd-lead-2010.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
40,reports,raw/reports/JECFA_Methylmercury_Monograph.pdf,JECFA_Methylmercury_Monograph.pdf,pdf,1034374,5ebe66177eab33ade2b4426adf4b46f9561ec17bc75fa73da6b4368c97eeeaa8,matched_by_raw_path,wiki/sources/jecfa-61st-methylmercury.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
41,reports,raw/reports/MinamataConvention_Text.pdf,MinamataConvention_Text.pdf,pdf,645105,4723958effca7a69b976e49751b010fccd66a29d929f6a4cee7e17609c6cead0,matched_by_raw_path,wiki/sources/minamata-convention-2013.md,,gov-report,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
42,reports,raw/reports/Nickel Compounds and Metallic Nickel - 15th Report on Carcinogens - NCBI Bookshelf.pdf,Nickel Compounds and Metallic Nickel - 15th Report on Carcinogens - NCBI Bookshelf.pdf,pdf,410590,4661665bf3440dc665ded08f9605dbda33b1aee6a87becf2aa0ea3784c75fc15,matched_by_raw_path,wiki/sources/ntp-15th-roc-nickel-2021.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
43,reports,raw/reports/nihms-1870584.pdf,nihms-1870584.pdf,pdf,639744,3304c07f9b72e5fd48b322dcd4f45d9e149f1035492cc6af1c967d7cc2644468,matched_by_raw_path,wiki/sources/thomas-2021-arsenic-methylation.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
44,reports,raw/reports/OEHHA_Arsenic_Prop65_Listing.pdf,OEHHA_Arsenic_Prop65_Listing.pdf,pdf,62024,ac4d1b7255f7c315687a337be39942a33cacc30eae2b17857f591577b70d0d0c,matched_by_raw_path,wiki/sources/oehha-arsenic-prop65-listing.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
45,reports,raw/reports/OEHHA_Cadmium_Prop65_Evidence1996.pdf,OEHHA_Cadmium_Prop65_Evidence1996.pdf,pdf,662737,3e4eeca36b5a2dd548bb5451b9170db70499faf87b0fdc7d01e3612e4822f338,matched_by_raw_path,wiki/sources/oehha-cadmium-prop65-evidence-1996.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
46,reports,raw/reports/OEHHA_Cadmium_Prop65_MADL.pdf,OEHHA_Cadmium_Prop65_MADL.pdf,pdf,120632,ec5c7a5c0460e99cbb525c09d842973bfc0dbbc64d8d3444df3507a35b639666,matched_by_raw_path,wiki/sources/oehha-cadmium-prop65-madl-2001.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
47,reports,raw/reports/OEHHA_Lead_Prop65_Listing.pdf,OEHHA_Lead_Prop65_Listing.pdf,pdf,84204,60a76a78d520e4506a7a85593e4d58527a4d800c2278d6316c6c979715007347,matched_by_raw_path,wiki/sources/oehha-lead-prop65-listing.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
48,reports,raw/reports/scientific-opinion-on-arsenic-in-food-2009.pdf,scientific-opinion-on-arsenic-in-food-2009.pdf,pdf,1253954,3589ff61802765b0ee79f37d8840e8f28d1f4f86bd0d767797507fe6851d4e61,matched_by_raw_path,wiki/sources/efsa-arsenic-contam-2009.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
49,reports,raw/reports/scientific-opinion-on-lead-in-food-2010.pdf,scientific-opinion-on-lead-in-food-2010.pdf,pdf,2355960,897e8bc3c6dcbfcf0e3528cd5066047a17cac0897c64c2184b5f5e3495eedf86,matched_by_raw_path,wiki/sources/efsa-lead-contam-2010.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
50,reports,raw/reports/scientific-opinion-on-the-risk-for-public-health-related-to-the--2012.pdf,scientific-opinion-on-the-risk-for-public-health-related-to-the--2012.pdf,pdf,4142347,af67db080907017e81953a66575da1b0898d60279e137e32f82135dfc9e6b0a4,matched_by_raw_path,wiki/sources/efsa-mercury-methylmercury-2012.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
51,studies,raw/studies/1-s2.0-S0002916525004563-main.pdf,1-s2.0-S0002916525004563-main.pdf,pdf,3206645,e3a8d02761f091c40c01633a6da4d2f9a598238c22d011e02ca226315a9e5460,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
52,studies,raw/studies/10.1016@j.foodcont.2011.12.024.pdf,10.1016@j.foodcont.2011.12.024.pdf,pdf,361471,2b342edbd0c9b88c15e32596d7b44072a2a8e60a4f219ca60df0e2a2a40f2c2d,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
53,studies,raw/studies/2_3_2025.pdf,2_3_2025.pdf,pdf,567802,b0572e434fb6a4d1a482b22e362393e64a0f702d9c7bcbdd33c3f6cb0f54bce9,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
54,studies,raw/studies/article (2).pdf,article (2).pdf,pdf,243981,aaa1325ecdd171d3f19b2dfa28f15411982e4d186aa2eb35fdfb9d2ceb321a84,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
55,studies,raw/studies/baum1997.pdf,baum1997.pdf,pdf,468820,73b499dd2fbd80e7e81fa49f75099e1e6eeb4a83db2afc95e3c5b44b0e728ed7,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
56,studies,raw/studies/biology-11-00376.pdf,biology-11-00376.pdf,pdf,2910432,bce327326fc06084647f5bb62d0b49a9fe04f1dcba8fd49c1c85af650efca28d,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
57,studies,raw/studies/brom_chem_II_2020_www_66_72.pdf,brom_chem_II_2020_www_66_72.pdf,pdf,221844,a226bc47e4fa5da97b6bd8ed49367a4508fc6538621660276141c254c2ae5d78,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
58,studies,raw/studies/Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market.pdf,Content and Dietary Exposure Assessment of Toxic Elements in Infant Formulas from the Chinese Market.pdf,pdf,514468,e383a84226c9f495e48093ddbbb661ae3fee7f7089dc87714558cb8559ad4e16,matched_by_raw_path,wiki/sources/chung2021-china-infant-formula-toxic-elements.md,,peer-reviewed,A,P1-study-product-relevant,"audit source page completeness, extract routeable claims/values if missing"
59,studies,raw/studies/dabeka1987.pdf,dabeka1987.pdf,pdf,532028,4f54c665b9787be14b3ff06b31edad48ee0e7abece5dd6f4e16937f1f00e4ed7,matched_by_raw_path,wiki/sources/dabeka1987-canada-infant-formula-lead-cadmium.md,,peer-reviewed,A,P2-study-background,"audit source page completeness, extract routeable claims/values if missing"
60,studies,raw/studies/dabeka1989.pdf,dabeka1989.pdf,pdf,502793,213b643a42ee4e6de446cd86a8a9cd10fb5e8ebde451819aff3d9a6ff4f01057,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
61,studies,raw/studies/FM_10020839_A_review_on_arsenic_in_the_environment_contamination_mobilit.pdf,FM_10020839_A_review_on_arsenic_in_the_environment_contamination_mobilit.pdf,pdf,1384270,922d588bd27e732fe1016cdc8f6149784c9f5058a555d090abed031fff454e0e,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
62,studies,raw/studies/FM_10031963_Exposure_to_environmental_chemicals_and_cancer_risk_epidemio.pdf,FM_10031963_Exposure_to_environmental_chemicals_and_cancer_risk_epidemio.pdf,pdf,1568076,4c8aee3ff2d11d8f649d129d54ccb8658d6795583eb2464cf7b6ed89ecebf37e,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
63,studies,raw/studies/FM_10042769_Mechanistic_understanding_of_the_toxic_effects_of_arsenic_an.pdf,FM_10042769_Mechanistic_understanding_of_the_toxic_effects_of_arsenic_an.pdf,pdf,1109404,b8d29aba11ac1aaf5fac0e9f4ba677826b9c41ac3dac614113c87e1a9ee6a552,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
64,studies,raw/studies/FM_10090567_A_review_of_important_heavy_metals_toxicity_with_special_emp.pdf,FM_10090567_A_review_of_important_heavy_metals_toxicity_with_special_emp.pdf,pdf,1421412,5efad72cf97b775f653180b5c56d51f47a0326ef3d127240dbe8f1e52cb2a0d1,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
65,studies,raw/studies/FM_10108681_Comprehensive_review_on_patulin_and_Alternaria_toxins_in_fru.pdf,FM_10108681_Comprehensive_review_on_patulin_and_Alternaria_toxins_in_fru.pdf,pdf,2185939,4df20788f0fa89f0caa6dd4dcacd43ad392552e264ff175b6bef0a6ebacac43e,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
66,studies,raw/studies/FM_10212876_Land_application_of_industrial_wastes_impacts_on_soil_qualit.pdf,FM_10212876_Land_application_of_industrial_wastes_impacts_on_soil_qualit.pdf,pdf,1273168,2162d8ccb67ac586e4002e27e5dc4c0e4411a4fbb51fa9bc1eaa9874b7d09ca1,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
67,studies,raw/studies/FM_10212926_Dietary_exposure_to_potentially_harmful_elements_in_edible_p.pdf,FM_10212926_Dietary_exposure_to_potentially_harmful_elements_in_edible_p.pdf,pdf,4693758,3aeb1000b8296ccc6c0b2aa418bea286edb2d0add7e0883b5e4240d2b47c6446,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
68,studies,raw/studies/FM_10244267_Cumulative_risk_assessment_of_the_dietary_heavy_metal_and_al.pdf,FM_10244267_Cumulative_risk_assessment_of_the_dietary_heavy_metal_and_al.pdf,pdf,1143646,b5338ef9571723bd5188688ad25c42b803a139aa4a1e21ceaaf2ba2d3f50f771,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
69,studies,raw/studies/FM_10276398_Progress_in_quality_control_detection_techniques_speciation.pdf,FM_10276398_Progress_in_quality_control_detection_techniques_speciation.pdf,pdf,1569091,36abb05436601900bac4eb0cfb568e6b7b346f3a78c271686576abf701323c5a,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
70,studies,raw/studies/FM_10321601_Reduction_of_bioavailability_and_phytotoxicity_effect_of_cad.pdf,FM_10321601_Reduction_of_bioavailability_and_phytotoxicity_effect_of_cad.pdf,pdf,8538696,c69a6fe1059f325dca825d21bc51b680f79d5ac1d3f6876f7422f9b7ba048110,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
71,studies,raw/studies/FM_10334572_Consumer_health_risk_assessment_of_Arsenic_and_Mercury_in_he.pdf,FM_10334572_Consumer_health_risk_assessment_of_Arsenic_and_Mercury_in_he.pdf,pdf,1988680,f3030f7a973e26a385c919500304b2ff93af6c819853a1396ce98b82d5a730e0,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
72,studies,raw/studies/FM_10340091_Heavy_metal_toxicity_in_poultry_a_comprehensive_review.pdf,FM_10340091_Heavy_metal_toxicity_in_poultry_a_comprehensive_review.pdf,pdf,1001239,e3b21c898c38d09db8b40c2a6c83ef21fde0fd1d3eae2d26f3e37d603069e876,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
73,studies,raw/studies/FM_10350440_Deterministic_and_Probabilistic_Health_Risk_Assessment_of_To.pdf,FM_10350440_Deterministic_and_Probabilistic_Health_Risk_Assessment_of_To.pdf,pdf,1355978,d4bf5af090cb1e2136b548a15f20f2253c097c24555eef74da9e89883c5d31a0,no_source_page,,,peer-reviewed,A,P2-study-background,"create source page, classify evidence fitness, then route claims/values"
